$CL|META|providers=cloud|sources=|records=1053
$CL|REC|t=1770000000000|msg=START RequestId: 196a221f-ccf1-4231-9769-f0e4e8b5db42 Version: $LATEST
$CL|REC|t=1770000000100|msg=[2026-06-05 01:01:00,100] INFO: 下载 S3 -> 本地: s3://sample-batch-processor/input/orders-2026-06-04.csv  ->  /tmp/orders-2026-06-04.csv
$CL|REC|t=1770000000300|msg=[2026-06-05 01:01:00,300] INFO: 校验 CSV 表头 expected=12 actual=12 status=ok
$CL|REC|t=1770000000500|msg=[2026-06-05 01:01:00,500] INFO: 推断 schema: [order_id:str, customer_id:str, sku:str, qty:int, unit_price:decimal, currency:str, region:str, channel:str, status:str, created_at:ts, updated_at:ts, notes:str]
$CL|REC|t=1770000000600|msg=[2026-06-05 01:01:00,600] INFO: 启动批处理进程：python etl_worker.py --input /tmp/orders-2026-06-04.csv --output-prefix s3://sample-batch-processor/parquet/orders/2026-06-05/ --target-format parquet --compression snappy --partition-by region --target-file-size 134217728 --max-concurrency 8 --batch-size 5000 --request-timeout 60 --log-level INFO --db-host db-primary.example.local --db-port 3306 --db-name sample_app --db-user app --db-pass REDACTED --on-conflict overwrite --manifest /tmp/orders-2026-06-04.csv.manifest.json
$CL|REC|t=1770000000800|msg=[2026-06-05 01:01:00,800] INFO: [worker stdout] [2026-06-05 01:01:00,800] INFO: 共加载 1024 个 batch，shards: ['shard-0', 'shard-1', 'shard-2', 'shard-3']
$CL|REC|t=1770000010000|msg=[2026-06-05 01:01:20,000] INFO: [worker stdout] [2026-06-05 01:01:20,000] INFO: [进度] 1/1024 | shard=shard-0 | partition=region=EU
$CL|REC|t=1770000077650|msg=[2026-06-05 01:01:23,6650] INFO: [worker stdout] [2026-06-05 01:01:23,6650] INFO: 写出 batch | shard=shard-1 | rows=5000 | bytes=4194304 | path=s3://sample-batch-processor/parquet/orders/2026-06-05/region=na/part-00038.snappy.parquet | engine=pyarrow
$CL|REC|t=1770000077800|msg=[2026-06-05 01:01:22,7800] INFO: [worker stdout] [2026-06-05 01:01:22,7800] INFO: [进度] 296/1024 | shard=shard-1 | partition=region=NA
$CL|REC|t=1770000077850|msg=[2026-06-05 01:01:23,6850] INFO: [worker stdout] [2026-06-05 01:01:23,6850] INFO: 写出 batch | shard=shard-1 | rows=5000 | bytes=4194304 | path=s3://sample-batch-processor/parquet/orders/2026-06-05/region=na/part-00039.snappy.parquet | engine=pyarrow
$CL|REC|t=1770000078000|msg=[2026-06-05 01:01:22,8000] INFO: [worker stdout] [2026-06-05 01:01:22,8000] INFO: [进度] 297/1024 | shard=shard-1 | partition=region=NA
$CL|REC|t=1770000078050|msg=[2026-06-05 01:01:23,7050] INFO: [worker stdout] [2026-06-05 01:01:23,7050] INFO: 写出 batch | shard=shard-1 | rows=5000 | bytes=4194304 | path=s3://sample-batch-processor/parquet/orders/2026-06-05/region=na/part-00040.snappy.parquet | engine=pyarrow
$CL|REC|t=1770000078200|msg=[2026-06-05 01:01:22,8200] INFO: [worker stdout] [2026-06-05 01:01:22,8200] INFO: [进度] 298/1024 | shard=shard-1 | partition=region=NA
$CL|REC|t=1770000078250|msg=[2026-06-05 01:01:23,7250] INFO: [worker stdout] [2026-06-05 01:01:23,7250] INFO: 写出 batch | shard=shard-1 | rows=5000 | bytes=4194304 | path=s3://sample-batch-processor/parquet/orders/2026-06-05/region=na/part-00041.snappy.parquet | engine=pyarrow
$CL|REC|t=1770000078400|msg=[2026-06-05 01:01:22,8400] INFO: [worker stdout] [2026-06-05 01:01:22,8400] INFO: [进度] 299/1024 | shard=shard-1 | partition=region=NA
$CL|REC|t=1770000078450|msg=[2026-06-05 01:01:23,7450] INFO: [worker stdout] [2026-06-05 01:01:23,7450] INFO: 写出 batch | shard=shard-1 | rows=5000 | bytes=4194304 | path=s3://sample-batch-processor/parquet/orders/2026-06-05/region=na/part-00042.snappy.parquet | engine=pyarrow
$CL|REC|t=1770000078600|msg=[2026-06-05 01:01:22,8600] INFO: [worker stdout] [2026-06-05 01:01:22,8600] INFO: [进度] 300/1024 | shard=shard-1 | partition=region=NA
$CL|REC|t=1770000078650|msg=[2026-06-05 01:01:23,7650] INFO: [worker stdout] [2026-06-05 01:01:23,7650] INFO: 写出 batch | shard=shard-1 | rows=5000 | bytes=4194304 | path=s3://sample-batch-processor/parquet/orders/2026-06-05/region=na/part-00043.snappy.parquet | engine=pyarrow
$CL|REC|t=1770000078800|msg=[2026-06-05 01:01:22,8800] INFO: [worker stdout] [2026-06-05 01:01:22,8800] INFO: [进度] 301/1024 | shard=shard-1 | partition=region=NA
$CL|REC|t=1770000078850|msg=[2026-06-05 01:01:23,7850] INFO: [worker stdout] [2026-06-05 01:01:23,7850] INFO: 写出 batch | shard=shard-1 | rows=5000 | bytes=4194304 | path=s3://sample-batch-processor/parquet/orders/2026-06-05/region=na/part-00044.snappy.parquet | engine=pyarrow
$CL|REC|t=1770000079000|msg=[2026-06-05 01:01:22,9000] INFO: [worker stdout] [2026-06-05 01:01:22,9000] INFO: [进度] 302/1024 | shard=shard-1 | partition=region=NA
$CL|REC|t=1770000079050|msg=[2026-06-05 01:01:23,8050] INFO: [worker stdout] [2026-06-05 01:01:23,8050] INFO: 写出 batch | shard=shard-1 | rows=5000 | bytes=4194304 | path=s3://sample-batch-processor/parquet/orders/2026-06-05/region=na/part-00045.snappy.parquet | engine=pyarrow
$CL|REC|t=1770000079200|msg=[2026-06-05 01:01:22,9200] INFO: [worker stdout] [2026-06-05 01:01:22,9200] INFO: [进度] 303/1024 | shard=shard-1 | partition=region=NA
$CL|REC|t=1770000079250|msg=[2026-06-05 01:01:23,8250] INFO: [worker stdout] [2026-06-05 01:01:23,8250] INFO: 写出 batch | shard=shard-1 | rows=5000 | bytes=4194304 | path=s3://sample-batch-processor/parquet/orders/2026-06-05/region=na/part-00046.snappy.parquet | engine=pyarrow
$CL|REC|t=1770000079400|msg=[2026-06-05 01:01:22,9400] INFO: [worker stdout] [2026-06-05 01:01:22,9400] INFO: [进度] 304/1024 | shard=shard-1 | partition=region=NA
$CL|REC|t=1770000079450|msg=[2026-06-05 01:01:23,8450] INFO: [worker stdout] [2026-06-05 01:01:23,8450] INFO: 写出 batch | shard=shard-1 | rows=5000 | bytes=4194304 | path=s3://sample-batch-processor/parquet/orders/2026-06-05/region=na/part-00047.snappy.parquet | engine=pyarrow
$CL|REC|t=1770000079600|msg=[2026-06-05 01:01:22,9600] INFO: [worker stdout] [2026-06-05 01:01:22,9600] INFO: [进度] 305/1024 | shard=shard-1 | partition=region=NA
$CL|REC|t=1770000079650|msg=[2026-06-05 01:01:23,8650] INFO: [worker stdout] [2026-06-05 01:01:23,8650] INFO: 写出 batch | shard=shard-1 | rows=5000 | bytes=4194304 | path=s3://sample-batch-processor/parquet/orders/2026-06-05/region=na/part-00048.snappy.parquet | engine=pyarrow
$CL|REC|t=1770000079800|msg=[2026-06-05 01:01:22,9800] INFO: [worker stdout] [2026-06-05 01:01:22,9800] INFO: [进度] 306/1024 | shard=shard-1 | partition=region=NA
$CL|REC|t=1770000079850|msg=[2026-06-05 01:01:23,8850] INFO: [worker stdout] [2026-06-05 01:01:23,8850] INFO: 写出 batch | shard=shard-1 | rows=5000 | bytes=4194304 | path=s3://sample-batch-processor/parquet/orders/2026-06-05/region=na/part-00049.snappy.parquet | engine=pyarrow
$CL|REC|t=1770000080000|msg=[2026-06-05 01:01:22,10000] INFO: [worker stdout] [2026-06-05 01:01:22,10000] INFO: [进度] 307/1024 | shard=shard-1 | partition=region=NA
$CL|REC|t=1770000080050|msg=[2026-06-05 01:01:23,9050] INFO: [worker stdout] [2026-06-05 01:01:23,9050] INFO: 写出 batch | shard=shard-1 | rows=5000 | bytes=4194304 | path=s3://sample-batch-processor/parquet/orders/2026-06-05/region=na/part-00050.snappy.parquet | engine=pyarrow
$CL|REC|t=1770000080200|msg=[2026-06-05 01:01:22,10200] INFO: [worker stdout] [2026-06-05 01:01:22,10200] INFO: [进度] 308/1024 | shard=shard-1 | partition=region=NA
$CL|REC|t=1770000080250|msg=[2026-06-05 01:01:23,9250] INFO: [worker stdout] [2026-06-05 01:01:23,9250] INFO: 写出 batch | shard=shard-1 | rows=5000 | bytes=4194304 | path=s3://sample-batch-processor/parquet/orders/2026-06-05/region=na/part-00051.snappy.parquet | engine=pyarrow
$CL|REC|t=1770000080400|msg=[2026-06-05 01:01:22,10400] INFO: [worker stdout] [2026-06-05 01:01:22,10400] INFO: [进度] 309/1024 | shard=shard-1 | partition=region=NA
$CL|REC|t=1770000080450|msg=[2026-06-05 01:01:23,9450] INFO: [worker stdout] [2026-06-05 01:01:23,9450] INFO: 写出 batch | shard=shard-1 | rows=5000 | bytes=4194304 | path=s3://sample-batch-processor/parquet/orders/2026-06-05/region=na/part-00052.snappy.parquet | engine=pyarrow
$CL|REC|t=1770000080600|msg=[2026-06-05 01:01:22,10600] INFO: [worker stdout] [2026-06-05 01:01:22,10600] INFO: [进度] 310/1024 | shard=shard-1 | partition=region=NA
$CL|REC|t=1770000080650|msg=[2026-06-05 01:01:23,9650] INFO: [worker stdout] [2026-06-05 01:01:23,9650] INFO: 写出 batch | shard=shard-1 | rows=5000 | bytes=4194304 | path=s3://sample-batch-processor/parquet/orders/2026-06-05/region=na/part-00053.snappy.parquet | engine=pyarrow
$CL|REC|t=1770000080800|msg=[2026-06-05 01:01:22,10800] INFO: [worker stdout] [2026-06-05 01:01:22,10800] INFO: [进度] 311/1024 | shard=shard-1 | partition=region=NA
$CL|REC|t=1770000080850|msg=[2026-06-05 01:01:23,9850] INFO: [worker stdout] [2026-06-05 01:01:23,9850] INFO: 写出 batch | shard=shard-1 | rows=5000 | bytes=4194304 | path=s3://sample-batch-processor/parquet/orders/2026-06-05/region=na/part-00054.snappy.parquet | engine=pyarrow
$CL|REC|t=1770000081000|msg=[2026-06-05 01:01:22,11000] INFO: [worker stdout] [2026-06-05 01:01:22,11000] INFO: [进度] 312/1024 | shard=shard-1 | partition=region=NA
$CL|REC|t=1770000081050|msg=[2026-06-05 01:01:23,10050] INFO: [worker stdout] [2026-06-05 01:01:23,10050] INFO: 写出 batch | shard=shard-1 | rows=5000 | bytes=4194304 | path=s3://sample-batch-processor/parquet/orders/2026-06-05/region=na/part-00055.snappy.parquet | engine=pyarrow
$CL|REC|t=1770000081200|msg=[2026-06-05 01:01:22,11200] INFO: [worker stdout] [2026-06-05 01:01:22,11200] INFO: [进度] 313/1024 | shard=shard-1 | partition=region=NA
$CL|REC|t=1770000081250|msg=[2026-06-05 01:01:23,10250] INFO: [worker stdout] [2026-06-05 01:01:23,10250] INFO: 写出 batch | shard=shard-1 | rows=5000 | bytes=4194304 | path=s3://sample-batch-processor/parquet/orders/2026-06-05/region=na/part-00056.snappy.parquet | engine=pyarrow
$CL|REC|t=1770000081400|msg=[2026-06-05 01:01:22,11400] INFO: [worker stdout] [2026-06-05 01:01:22,11400] INFO: [进度] 314/1024 | shard=shard-1 | partition=region=NA
$CL|REC|t=1770000081450|msg=[2026-06-05 01:01:23,10450] INFO: [worker stdout] [2026-06-05 01:01:23,10450] INFO: 写出 batch | shard=shard-1 | rows=5000 | bytes=4194304 | path=s3://sample-batch-processor/parquet/orders/2026-06-05/region=na/part-00057.snappy.parquet | engine=pyarrow
$CL|REC|t=1770000081600|msg=[2026-06-05 01:01:22,11600] INFO: [worker stdout] [2026-06-05 01:01:22,11600] INFO: [进度] 315/1024 | shard=shard-1 | partition=region=NA
$CL|REC|t=1770000081650|msg=[2026-06-05 01:01:23,10650] INFO: [worker stdout] [2026-06-05 01:01:23,10650] INFO: 写出 batch | shard=shard-1 | rows=5000 | bytes=4194304 | path=s3://sample-batch-processor/parquet/orders/2026-06-05/region=na/part-00058.snappy.parquet | engine=pyarrow
$CL|REC|t=1770000081800|msg=[2026-06-05 01:01:22,11800] INFO: [worker stdout] [2026-06-05 01:01:22,11800] INFO: [进度] 316/1024 | shard=shard-1 | partition=region=NA
$CL|REC|t=1770000081850|msg=[2026-06-05 01:01:23,10850] INFO: [worker stdout] [2026-06-05 01:01:23,10850] INFO: 写出 batch | shard=shard-1 | rows=5000 | bytes=4194304 | path=s3://sample-batch-processor/parquet/orders/2026-06-05/region=na/part-00059.snappy.parquet | engine=pyarrow
$CL|REC|t=1770000082000|msg=[2026-06-05 01:01:22,12000] INFO: [worker stdout] [2026-06-05 01:01:22,12000] INFO: [进度] 317/1024 | shard=shard-1 | partition=region=NA
$CL|REC|t=1770000082050|msg=[2026-06-05 01:01:23,11050] INFO: [worker stdout] [2026-06-05 01:01:23,11050] INFO: 写出 batch | shard=shard-1 | rows=5000 | bytes=4194304 | path=s3://sample-batch-processor/parquet/orders/2026-06-05/region=na/part-00060.snappy.parquet | engine=pyarrow
$CL|REC|t=1770000082200|msg=[2026-06-05 01:01:22,12200] INFO: [worker stdout] [2026-06-05 01:01:22,12200] INFO: [进度] 318/1024 | shard=shard-1 | partition=region=NA
$CL|REC|t=1770000082250|msg=[2026-06-05 01:01:23,11250] INFO: [worker stdout] [2026-06-05 01:01:23,11250] INFO: 写出 batch | shard=shard-1 | rows=5000 | bytes=4194304 | path=s3://sample-batch-processor/parquet/orders/2026-06-05/region=na/part-00061.snappy.parquet | engine=pyarrow
$CL|REC|t=1770000082400|msg=[2026-06-05 01:01:22,12400] INFO: [worker stdout] [2026-06-05 01:01:22,12400] INFO: [进度] 319/1024 | shard=shard-1 | partition=region=NA
$CL|REC|t=1770000082450|msg=[2026-06-05 01:01:23,11450] INFO: [worker stdout] [2026-06-05 01:01:23,11450] INFO: 写出 batch | shard=shard-1 | rows=5000 | bytes=4194304 | path=s3://sample-batch-processor/parquet/orders/2026-06-05/region=na/part-00062.snappy.parquet | engine=pyarrow
$CL|REC|t=1770000082600|msg=[2026-06-05 01:01:22,12600] INFO: [worker stdout] [2026-06-05 01:01:22,12600] INFO: [进度] 320/1024 | shard=shard-1 | partition=region=NA
$CL|REC|t=1770000082650|msg=[2026-06-05 01:01:23,11650] INFO: [worker stdout] [2026-06-05 01:01:23,11650] INFO: 写出 batch | shard=shard-1 | rows=5000 | bytes=4194304 | path=s3://sample-batch-processor/parquet/orders/2026-06-05/region=na/part-00063.snappy.parquet | engine=pyarrow
$CL|REC|t=1770000130000|msg=[2026-06-05 01:01:24,000] INFO: [worker stdout] [2026-06-05 01:01:24,000] INFO: [进度] 513/1024 | shard=shard-2 | partition=region=APAC
$CL|REC|t=1770000130050|msg=[2026-06-05 01:01:24,050] INFO: [worker stdout] [2026-06-05 01:01:24,050] INFO: 写出 batch | shard=shard-2 | rows=5000 | bytes=4194304 | path=s3://sample-batch-processor/parquet/orders/2026-06-05/region=apac/part-00000.snappy.parquet | engine=pyarrow
$CL|REC|t=1770000130200|msg=[2026-06-05 01:01:24,200] INFO: [worker stdout] [2026-06-05 01:01:24,200] INFO: [进度] 514/1024 | shard=shard-2 | partition=region=APAC
$CL|REC|t=1770000130250|msg=[2026-06-05 01:01:24,250] INFO: [worker stdout] [2026-06-05 01:01:24,250] INFO: 写出 batch | shard=shard-2 | rows=5000 | bytes=4194304 | path=s3://sample-batch-processor/parquet/orders/2026-06-05/region=apac/part-00001.snappy.parquet | engine=pyarrow
$CL|REC|t=1770000130400|msg=[2026-06-05 01:01:24,400] INFO: [worker stdout] [2026-06-05 01:01:24,400] INFO: [进度] 515/1024 | shard=shard-2 | partition=region=APAC
$CL|REC|t=1770000130450|msg=[2026-06-05 01:01:24,450] INFO: [worker stdout] [2026-06-05 01:01:24,450] INFO: 写出 batch | shard=shard-2 | rows=5000 | bytes=4194304 | path=s3://sample-batch-processor/parquet/orders/2026-06-05/region=apac/part-00002.snappy.parquet | engine=pyarrow
$CL|REC|t=1770000130600|msg=[2026-06-05 01:01:24,600] INFO: [worker stdout] [2026-06-05 01:01:24,600] INFO: [进度] 516/1024 | shard=shard-2 | partition=region=APAC
$CL|REC|t=1770000130650|msg=[2026-06-05 01:01:24,650] INFO: [worker stdout] [2026-06-05 01:01:24,650] INFO: 写出 batch | shard=shard-2 | rows=5000 | bytes=4194304 | path=s3://sample-batch-processor/parquet/orders/2026-06-05/region=apac/part-00003.snappy.parquet | engine=pyarrow
$CL|REC|t=1770000130800|msg=[2026-06-05 01:01:24,800] INFO: [worker stdout] [2026-06-05 01:01:24,800] INFO: [进度] 517/1024 | shard=shard-2 | partition=region=APAC
$CL|REC|t=1770000130850|msg=[2026-06-05 01:01:24,850] INFO: [worker stdout] [2026-06-05 01:01:24,850] INFO: 写出 batch | shard=shard-2 | rows=5000 | bytes=4194304 | path=s3://sample-batch-processor/parquet/orders/2026-06-05/region=apac/part-00004.snappy.parquet | engine=pyarrow
$CL|REC|t=1770000131000|msg=[2026-06-05 01:01:24,1000] INFO: [worker stdout] [2026-06-05 01:01:24,1000] INFO: [进度] 518/1024 | shard=shard-2 | partition=region=APAC
$CL|REC|t=1770000131050|msg=[2026-06-05 01:01:25,050] INFO: [worker stdout] [2026-06-05 01:01:25,050] INFO: 写出 batch | shard=shard-2 | rows=5000 | bytes=4194304 | path=s3://sample-batch-processor/parquet/orders/2026-06-05/region=apac/part-00005.snappy.parquet | engine=pyarrow
$CL|REC|t=1770000131200|msg=[2026-06-05 01:01:24,1200] INFO: [worker stdout] [2026-06-05 01:01:24,1200] INFO: [进度] 519/1024 | shard=shard-2 | partition=region=APAC
$CL|REC|t=1770000131250|msg=[2026-06-05 01:01:25,250] INFO: [worker stdout] [2026-06-05 01:01:25,250] INFO: 写出 batch | shard=shard-2 | rows=5000 | bytes=4194304 | path=s3://sample-batch-processor/parquet/orders/2026-06-05/region=apac/part-00006.snappy.parquet | engine=pyarrow
$CL|REC|t=1770000131400|msg=[2026-06-05 01:01:24,1400] INFO: [worker stdout] [2026-06-05 01:01:24,1400] INFO: [进度] 520/1024 | shard=shard-2 | partition=region=APAC
$CL|REC|t=1770000131450|msg=[2026-06-05 01:01:25,450] INFO: [worker stdout] [2026-06-05 01:01:25,450] INFO: 写出 batch | shard=shard-2 | rows=5000 | bytes=4194304 | path=s3://sample-batch-processor/parquet/orders/2026-06-05/region=apac/part-00007.snappy.parquet | engine=pyarrow
$CL|REC|t=1770000131600|msg=[2026-06-05 01:01:24,1600] INFO: [worker stdout] [2026-06-05 01:01:24,1600] INFO: [进度] 521/1024 | shard=shard-2 | partition=region=APAC
$CL|REC|t=1770000131650|msg=[2026-06-05 01:01:25,650] INFO: [worker stdout] [2026-06-05 01:01:25,650] INFO: 写出 batch | shard=shard-2 | rows=5000 | bytes=4194304 | path=s3://sample-batch-processor/parquet/orders/2026-06-05/region=apac/part-00008.snappy.parquet | engine=pyarrow
$CL|REC|t=1770000131800|msg=[2026-06-05 01:01:24,1800] INFO: [worker stdout] [2026-06-05 01:01:24,1800] INFO: [进度] 522/1024 | shard=shard-2 | partition=region=APAC
$CL|REC|t=1770000131850|msg=[2026-06-05 01:01:25,850] INFO: [worker stdout] [2026-06-05 01:01:25,850] INFO: 写出 batch | shard=shard-2 | rows=5000 | bytes=4194304 | path=s3://sample-batch-processor/parquet/orders/2026-06-05/region=apac/part-00009.snappy.parquet | engine=pyarrow
$CL|REC|t=1770000132000|msg=[2026-06-05 01:01:24,2000] INFO: [worker stdout] [2026-06-05 01:01:24,2000] INFO: [进度] 523/1024 | shard=shard-2 | partition=region=APAC
$CL|REC|t=1770000132050|msg=[2026-06-05 01:01:25,1050] INFO: [worker stdout] [2026-06-05 01:01:25,1050] INFO: 写出 batch | shard=shard-2 | rows=5000 | bytes=4194304 | path=s3://sample-batch-processor/parquet/orders/2026-06-05/region=apac/part-00010.snappy.parquet | engine=pyarrow
$CL|REC|t=1770000132200|msg=[2026-06-05 01:01:24,2200] INFO: [worker stdout] [2026-06-05 01:01:24,2200] INFO: [进度] 524/1024 | shard=shard-2 | partition=region=APAC
$CL|REC|t=1770000132250|msg=[2026-06-05 01:01:25,1250] INFO: [worker stdout] [2026-06-05 01:01:25,1250] INFO: 写出 batch | shard=shard-2 | rows=5000 | bytes=4194304 | path=s3://sample-batch-processor/parquet/orders/2026-06-05/region=apac/part-00011.snappy.parquet | engine=pyarrow
$CL|REC|t=1770000132400|msg=[2026-06-05 01:01:24,2400] INFO: [worker stdout] [2026-06-05 01:01:24,2400] INFO: [进度] 525/1024 | shard=shard-2 | partition=region=APAC
$CL|REC|t=1770000132450|msg=[2026-06-05 01:01:25,1450] INFO: [worker stdout] [2026-06-05 01:01:25,1450] INFO: 写出 batch | shard=shard-2 | rows=5000 | bytes=4194304 | path=s3://sample-batch-processor/parquet/orders/2026-06-05/region=apac/part-00012.snappy.parquet | engine=pyarrow
$CL|REC|t=1770000132600|msg=[2026-06-05 01:01:24,2600] INFO: [worker stdout] [2026-06-05 01:01:24,2600] INFO: [进度] 526/1024 | shard=shard-2 | partition=region=APAC
$CL|REC|t=1770000132650|msg=[2026-06-05 01:01:25,1650] INFO: [worker stdout] [2026-06-05 01:01:25,1650] INFO: 写出 batch | shard=shard-2 | rows=5000 | bytes=4194304 | path=s3://sample-batch-processor/parquet/orders/2026-06-05/region=apac/part-00013.snappy.parquet | engine=pyarrow
$CL|REC|t=1770000132800|msg=[2026-06-05 01:01:24,2800] INFO: [worker stdout] [2026-06-05 01:01:24,2800] INFO: [进度] 527/1024 | shard=shard-2 | partition=region=APAC
$CL|REC|t=1770000132850|msg=[2026-06-05 01:01:25,1850] INFO: [worker stdout] [2026-06-05 01:01:25,1850] INFO: 写出 batch | shard=shard-2 | rows=5000 | bytes=4194304 | path=s3://sample-batch-processor/parquet/orders/2026-06-05/region=apac/part-00014.snappy.parquet | engine=pyarrow
$CL|REC|t=1770000133000|msg=[2026-06-05 01:01:24,3000] INFO: [worker stdout] [2026-06-05 01:01:24,3000] INFO: [进度] 528/1024 | shard=shard-2 | partition=region=APAC
$CL|REC|t=1770000133050|msg=[2026-06-05 01:01:25,2050] INFO: [worker stdout] [2026-06-05 01:01:25,2050] INFO: 写出 batch | shard=shard-2 | rows=5000 | bytes=4194304 | path=s3://sample-batch-processor/parquet/orders/2026-06-05/region=apac/part-00015.snappy.parquet | engine=pyarrow
$CL|REC|t=1770000133200|msg=[2026-06-05 01:01:24,3200] INFO: [worker stdout] [2026-06-05 01:01:24,3200] INFO: [进度] 529/1024 | shard=shard-2 | partition=region=APAC
$CL|REC|t=1770000133250|msg=[2026-06-05 01:01:25,2250] INFO: [worker stdout] [2026-06-05 01:01:25,2250] INFO: 写出 batch | shard=shard-2 | rows=5000 | bytes=4194304 | path=s3://sample-batch-processor/parquet/orders/2026-06-05/region=apac/part-00016.snappy.parquet | engine=pyarrow
$CL|REC|t=1770000133400|msg=[2026-06-05 01:01:24,3400] INFO: [worker stdout] [2026-06-05 01:01:24,3400] INFO: [进度] 530/1024 | shard=shard-2 | partition=region=APAC
$CL|REC|t=1770000133450|msg=[2026-06-05 01:01:25,2450] INFO: [worker stdout] [2026-06-05 01:01:25,2450] INFO: 写出 batch | shard=shard-2 | rows=5000 | bytes=4194304 | path=s3://sample-batch-processor/parquet/orders/2026-06-05/region=apac/part-00017.snappy.parquet | engine=pyarrow
$CL|REC|t=1770000133600|msg=[2026-06-05 01:01:24,3600] INFO: [worker stdout] [2026-06-05 01:01:24,3600] INFO: [进度] 531/1024 | shard=shard-2 | partition=region=APAC
$CL|REC|t=1770000133650|msg=[2026-06-05 01:01:25,2650] INFO: [worker stdout] [2026-06-05 01:01:25,2650] INFO: 写出 batch | shard=shard-2 | rows=5000 | bytes=4194304 | path=s3://sample-batch-processor/parquet/orders/2026-06-05/region=apac/part-00018.snappy.parquet | engine=pyarrow
$CL|REC|t=1770000133800|msg=[2026-06-05 01:01:24,3800] INFO: [worker stdout] [2026-06-05 01:01:24,3800] INFO: [进度] 532/1024 | shard=shard-2 | partition=region=APAC
$CL|REC|t=1770000133850|msg=[2026-06-05 01:01:25,2850] INFO: [worker stdout] [2026-06-05 01:01:25,2850] INFO: 写出 batch | shard=shard-2 | rows=5000 | bytes=4194304 | path=s3://sample-batch-processor/parquet/orders/2026-06-05/region=apac/part-00019.snappy.parquet | engine=pyarrow
$CL|REC|t=1770000134000|msg=[2026-06-05 01:01:24,4000] INFO: [worker stdout] [2026-06-05 01:01:24,4000] INFO: [进度] 533/1024 | shard=shard-2 | partition=region=APAC
$CL|REC|t=1770000134050|msg=[2026-06-05 01:01:25,3050] INFO: [worker stdout] [2026-06-05 01:01:25,3050] INFO: 写出 batch | shard=shard-2 | rows=5000 | bytes=4194304 | path=s3://sample-batch-processor/parquet/orders/2026-06-05/region=apac/part-00020.snappy.parquet | engine=pyarrow
$CL|REC|t=1770000134200|msg=[2026-06-05 01:01:24,4200] INFO: [worker stdout] [2026-06-05 01:01:24,4200] INFO: [进度] 534/1024 | shard=shard-2 | partition=region=APAC
$CL|REC|t=1770000134250|msg=[2026-06-05 01:01:25,3250] INFO: [worker stdout] [2026-06-05 01:01:25,3250] INFO: 写出 batch | shard=shard-2 | rows=5000 | bytes=4194304 | path=s3://sample-batch-processor/parquet/orders/2026-06-05/region=apac/part-00021.snappy.parquet | engine=pyarrow
$CL|REC|t=1770000134400|msg=[2026-06-05 01:01:24,4400] INFO: [worker stdout] [2026-06-05 01:01:24,4400] INFO: [进度] 535/1024 | shard=shard-2 | partition=region=APAC
$CL|REC|t=1770000134450|msg=[2026-06-05 01:01:25,3450] INFO: [worker stdout] [2026-06-05 01:01:25,3450] INFO: 写出 batch | shard=shard-2 | rows=5000 | bytes=4194304 | path=s3://sample-batch-processor/parquet/orders/2026-06-05/region=apac/part-00022.snappy.parquet | engine=pyarrow
$CL|REC|t=1770000134600|msg=[2026-06-05 01:01:24,4600] INFO: [worker stdout] [2026-06-05 01:01:24,4600] INFO: [进度] 536/1024 | shard=shard-2 | partition=region=APAC
$CL|REC|t=1770000134650|msg=[2026-06-05 01:01:25,3650] INFO: [worker stdout] [2026-06-05 01:01:25,3650] INFO: 写出 batch | shard=shard-2 | rows=5000 | bytes=4194304 | path=s3://sample-batch-processor/parquet/orders/2026-06-05/region=apac/part-00023.snappy.parquet | engine=pyarrow
$CL|REC|t=1770000134800|msg=[2026-06-05 01:01:24,4800] INFO: [worker stdout] [2026-06-05 01:01:24,4800] INFO: [进度] 537/1024 | shard=shard-2 | partition=region=APAC
$CL|REC|t=1770000134850|msg=[2026-06-05 01:01:25,3850] INFO: [worker stdout] [2026-06-05 01:01:25,3850] INFO: 写出 batch | shard=shard-2 | rows=5000 | bytes=4194304 | path=s3://sample-batch-processor/parquet/orders/2026-06-05/region=apac/part-00024.snappy.parquet | engine=pyarrow
$CL|REC|t=1770000135000|msg=[2026-06-05 01:01:24,5000] INFO: [worker stdout] [2026-06-05 01:01:24,5000] INFO: [进度] 538/1024 | shard=shard-2 | partition=region=APAC
$CL|REC|t=1770000135050|msg=[2026-06-05 01:01:25,4050] INFO: [worker stdout] [2026-06-05 01:01:25,4050] INFO: 写出 batch | shard=shard-2 | rows=5000 | bytes=4194304 | path=s3://sample-batch-processor/parquet/orders/2026-06-05/region=apac/part-00025.snappy.parquet | engine=pyarrow
$CL|REC|t=1770000135200|msg=[2026-06-05 01:01:24,5200] INFO: [worker stdout] [2026-06-05 01:01:24,5200] INFO: [进度] 539/1024 | shard=shard-2 | partition=region=APAC
$CL|REC|t=1770000135250|msg=[2026-06-05 01:01:25,4250] INFO: [worker stdout] [2026-06-05 01:01:25,4250] INFO: 写出 batch | shard=shard-2 | rows=5000 | bytes=4194304 | path=s3://sample-batch-processor/parquet/orders/2026-06-05/region=apac/part-00026.snappy.parquet | engine=pyarrow
$CL|REC|t=1770000135400|msg=[2026-06-05 01:01:24,5400] INFO: [worker stdout] [2026-06-05 01:01:24,5400] INFO: [进度] 540/1024 | shard=shard-2 | partition=region=APAC
