$CL|META|providers=cloud|sources=|records=1625
$CL|REC|t=1775437264228|msg=START RequestId: b2c3d4e5-f6a7-8901-bcde-f23456789012 Version: $LATEST
$CL|REC|t=1775437264238|msg=[2026-04-06 01:01:04,238] INFO: 下载 S3 -> 本地: s3://sample-batch-processor/input/docs-manifest-2026-04-06.json  ->  /tmp/docs-manifest-2026-04-06.json
$CL|REC|t=1775437264258|msg=[2026-04-06 01:01:04,258] INFO: 加载清单 200 个文档来源，类别: [manual, report, spec, contract, faq]
$CL|REC|t=1775437264278|msg=[2026-04-06 01:01:04,278] INFO: 启动批处理进程：python doc_indexer.py --input /tmp/docs-manifest-2026-04-06.json --output-index sample-search-prod --parser auto --max-concurrency 6 --request-timeout 60 --chunk-size 1024 --chunk-overlap 128 --log-level INFO --db-host db-primary.example.local --db-port 3306 --db-name sample_app --db-user app --db-pass REDACTED --on-conflict upsert
$CL|REC|t=1775437301248|msg=[2026-04-06 01:01:15,020] INFO: [worker stdout] [2026-04-06 01:01:15,020] INFO: 索引中 | doc=doc-0003.pdf | chunks=92 | embedding_model=text-emb-3s | index=sample-search-prod
$CL|REC|t=1775437301308|msg=[2026-04-06 01:01:15,080] INFO: [worker stdout] [2026-04-06 01:01:15,080] INFO: 完成 | doc=doc-0003.pdf | ms=280 | chunks_indexed=92
$CL|REC|t=1775437301428|msg=[2026-04-06 01:01:14,200] INFO: [worker stdout] [2026-04-06 01:01:14,200] INFO: [进度] 64/200 | shard=shard-1 | category=spec | doc=doc-0004.pdf
$CL|REC|t=1775437301508|msg=[2026-04-06 01:01:15,280] INFO: [worker stdout] [2026-04-06 01:01:15,280] INFO: 解析中 | doc=doc-0004.pdf | pages=24 | parser=pdfplumber | size_bytes=524288
$CL|REC|t=1775437301648|msg=[2026-04-06 01:01:15,420] INFO: [worker stdout] [2026-04-06 01:01:15,420] INFO: 索引中 | doc=doc-0004.pdf | chunks=312 | embedding_model=text-emb-3s | index=sample-search-prod
$CL|REC|t=1775437301708|msg=[2026-04-06 01:01:15,480] INFO: [worker stdout] [2026-04-06 01:01:15,480] INFO: 完成 | doc=doc-0004.pdf | ms=280 | chunks_indexed=312
$CL|REC|t=1775437301828|msg=[2026-04-06 01:01:14,600] INFO: [worker stdout] [2026-04-06 01:01:14,600] INFO: [进度] 65/200 | shard=shard-1 | category=contract | doc=doc-0005.pdf
$CL|REC|t=1775437301908|msg=[2026-04-06 01:01:15,680] INFO: [worker stdout] [2026-04-06 01:01:15,680] INFO: 解析中 | doc=doc-0005.pdf | pages=16 | parser=pdfplumber | size_bytes=524288
$CL|REC|t=1775437302048|msg=[2026-04-06 01:01:15,820] INFO: [worker stdout] [2026-04-06 01:01:15,820] INFO: 索引中 | doc=doc-0005.pdf | chunks=184 | embedding_model=text-emb-3s | index=sample-search-prod
$CL|REC|t=1775437302108|msg=[2026-04-06 01:01:15,880] INFO: [worker stdout] [2026-04-06 01:01:15,880] INFO: 完成 | doc=doc-0005.pdf | ms=280 | chunks_indexed=184
$CL|REC|t=1775437302228|msg=[2026-04-06 01:01:14,000] INFO: [worker stdout] [2026-04-06 01:01:14,000] INFO: [进度] 66/200 | shard=shard-1 | category=faq | doc=doc-0006.pdf
$CL|REC|t=1775437302308|msg=[2026-04-06 01:01:15,080] INFO: [worker stdout] [2026-04-06 01:01:15,080] INFO: 解析中 | doc=doc-0006.pdf | pages=4 | parser=pdfplumber | size_bytes=524288
$CL|REC|t=1775437302448|msg=[2026-04-06 01:01:15,220] INFO: [worker stdout] [2026-04-06 01:01:15,220] INFO: 索引中 | doc=doc-0006.pdf | chunks=48 | embedding_model=text-emb-3s | index=sample-search-prod
$CL|REC|t=1775437302508|msg=[2026-04-06 01:01:15,280] INFO: [worker stdout] [2026-04-06 01:01:15,280] INFO: 完成 | doc=doc-0006.pdf | ms=280 | chunks_indexed=48
$CL|REC|t=1775437302628|msg=[2026-04-06 01:01:14,400] INFO: [worker stdout] [2026-04-06 01:01:14,400] INFO: [进度] 67/200 | shard=shard-1 | category=manual | doc=doc-0001.pdf
$CL|REC|t=1775437302708|msg=[2026-04-06 01:01:15,480] INFO: [worker stdout] [2026-04-06 01:01:15,480] INFO: 解析中 | doc=doc-0001.pdf | pages=12 | parser=pdfplumber | size_bytes=524288
$CL|REC|t=1775437302848|msg=[2026-04-06 01:01:15,620] INFO: [worker stdout] [2026-04-06 01:01:15,620] INFO: 索引中 | doc=doc-0001.pdf | chunks=148 | embedding_model=text-emb-3s | index=sample-search-prod
$CL|REC|t=1775437302908|msg=[2026-04-06 01:01:15,680] INFO: [worker stdout] [2026-04-06 01:01:15,680] INFO: 完成 | doc=doc-0001.pdf | ms=280 | chunks_indexed=148
$CL|REC|t=1775437303028|msg=[2026-04-06 01:01:14,800] INFO: [worker stdout] [2026-04-06 01:01:14,800] INFO: [进度] 68/200 | shard=shard-1 | category=manual | doc=doc-0002.pdf
$CL|REC|t=1775437303108|msg=[2026-04-06 01:01:15,880] INFO: [worker stdout] [2026-04-06 01:01:15,880] INFO: 解析中 | doc=doc-0002.pdf | pages=18 | parser=pdfplumber | size_bytes=524288
$CL|REC|t=1775437303248|msg=[2026-04-06 01:01:15,020] INFO: [worker stdout] [2026-04-06 01:01:15,020] INFO: 索引中 | doc=doc-0002.pdf | chunks=226 | embedding_model=text-emb-3s | index=sample-search-prod
$CL|REC|t=1775437303308|msg=[2026-04-06 01:01:15,080] INFO: [worker stdout] [2026-04-06 01:01:15,080] INFO: 完成 | doc=doc-0002.pdf | ms=280 | chunks_indexed=226
$CL|REC|t=1775437303428|msg=[2026-04-06 01:01:14,200] INFO: [worker stdout] [2026-04-06 01:01:14,200] INFO: [进度] 69/200 | shard=shard-1 | category=report | doc=doc-0003.pdf
$CL|REC|t=1775437303508|msg=[2026-04-06 01:01:15,280] INFO: [worker stdout] [2026-04-06 01:01:15,280] INFO: 解析中 | doc=doc-0003.pdf | pages=8 | parser=pdfplumber | size_bytes=524288
$CL|REC|t=1775437303648|msg=[2026-04-06 01:01:15,420] INFO: [worker stdout] [2026-04-06 01:01:15,420] INFO: 索引中 | doc=doc-0003.pdf | chunks=92 | embedding_model=text-emb-3s | index=sample-search-prod
$CL|REC|t=1775437303708|msg=[2026-04-06 01:01:15,480] INFO: [worker stdout] [2026-04-06 01:01:15,480] INFO: 完成 | doc=doc-0003.pdf | ms=280 | chunks_indexed=92
$CL|REC|t=1775437303828|msg=[2026-04-06 01:01:14,600] INFO: [worker stdout] [2026-04-06 01:01:14,600] INFO: [进度] 70/200 | shard=shard-1 | category=spec | doc=doc-0004.pdf
$CL|REC|t=1775437303908|msg=[2026-04-06 01:01:15,680] INFO: [worker stdout] [2026-04-06 01:01:15,680] INFO: 解析中 | doc=doc-0004.pdf | pages=24 | parser=pdfplumber | size_bytes=524288
$CL|REC|t=1775437304048|msg=[2026-04-06 01:01:15,820] INFO: [worker stdout] [2026-04-06 01:01:15,820] INFO: 索引中 | doc=doc-0004.pdf | chunks=312 | embedding_model=text-emb-3s | index=sample-search-prod
$CL|REC|t=1775437304108|msg=[2026-04-06 01:01:15,880] INFO: [worker stdout] [2026-04-06 01:01:15,880] INFO: 完成 | doc=doc-0004.pdf | ms=280 | chunks_indexed=312
$CL|REC|t=1775437304228|msg=[2026-04-06 01:01:14,000] INFO: [worker stdout] [2026-04-06 01:01:14,000] INFO: [进度] 71/200 | shard=shard-1 | category=contract | doc=doc-0005.pdf
$CL|REC|t=1775437304308|msg=[2026-04-06 01:01:15,080] INFO: [worker stdout] [2026-04-06 01:01:15,080] INFO: 解析中 | doc=doc-0005.pdf | pages=16 | parser=pdfplumber | size_bytes=524288
$CL|REC|t=1775437304448|msg=[2026-04-06 01:01:15,220] INFO: [worker stdout] [2026-04-06 01:01:15,220] INFO: 索引中 | doc=doc-0005.pdf | chunks=184 | embedding_model=text-emb-3s | index=sample-search-prod
$CL|REC|t=1775437304508|msg=[2026-04-06 01:01:15,280] INFO: [worker stdout] [2026-04-06 01:01:15,280] INFO: 完成 | doc=doc-0005.pdf | ms=280 | chunks_indexed=184
$CL|REC|t=1775437304628|msg=[2026-04-06 01:01:14,400] INFO: [worker stdout] [2026-04-06 01:01:14,400] INFO: [进度] 72/200 | shard=shard-1 | category=faq | doc=doc-0006.pdf
$CL|REC|t=1775437304708|msg=[2026-04-06 01:01:15,480] INFO: [worker stdout] [2026-04-06 01:01:15,480] INFO: 解析中 | doc=doc-0006.pdf | pages=4 | parser=pdfplumber | size_bytes=524288
$CL|REC|t=1775437304848|msg=[2026-04-06 01:01:15,620] INFO: [worker stdout] [2026-04-06 01:01:15,620] INFO: 索引中 | doc=doc-0006.pdf | chunks=48 | embedding_model=text-emb-3s | index=sample-search-prod
$CL|REC|t=1775437304908|msg=[2026-04-06 01:01:15,680] INFO: [worker stdout] [2026-04-06 01:01:15,680] INFO: 完成 | doc=doc-0006.pdf | ms=280 | chunks_indexed=48
$CL|REC|t=1775437305028|msg=[2026-04-06 01:01:14,800] INFO: [worker stdout] [2026-04-06 01:01:14,800] INFO: [进度] 73/200 | shard=shard-1 | category=manual | doc=doc-0001.pdf
$CL|REC|t=1775437305108|msg=[2026-04-06 01:01:15,880] INFO: [worker stdout] [2026-04-06 01:01:15,880] INFO: 解析中 | doc=doc-0001.pdf | pages=12 | parser=pdfplumber | size_bytes=524288
$CL|REC|t=1775437305248|msg=[2026-04-06 01:01:15,020] INFO: [worker stdout] [2026-04-06 01:01:15,020] INFO: 索引中 | doc=doc-0001.pdf | chunks=148 | embedding_model=text-emb-3s | index=sample-search-prod
$CL|REC|t=1775437305308|msg=[2026-04-06 01:01:15,080] INFO: [worker stdout] [2026-04-06 01:01:15,080] INFO: 完成 | doc=doc-0001.pdf | ms=280 | chunks_indexed=148
$CL|REC|t=1775437305428|msg=[2026-04-06 01:01:14,200] INFO: [worker stdout] [2026-04-06 01:01:14,200] INFO: [进度] 74/200 | shard=shard-1 | category=manual | doc=doc-0002.pdf
$CL|REC|t=1775437305508|msg=[2026-04-06 01:01:15,280] INFO: [worker stdout] [2026-04-06 01:01:15,280] INFO: 解析中 | doc=doc-0002.pdf | pages=18 | parser=pdfplumber | size_bytes=524288
$CL|REC|t=1775437305648|msg=[2026-04-06 01:01:15,420] INFO: [worker stdout] [2026-04-06 01:01:15,420] INFO: 索引中 | doc=doc-0002.pdf | chunks=226 | embedding_model=text-emb-3s | index=sample-search-prod
$CL|REC|t=1775437305708|msg=[2026-04-06 01:01:15,480] INFO: [worker stdout] [2026-04-06 01:01:15,480] INFO: 完成 | doc=doc-0002.pdf | ms=280 | chunks_indexed=226
$CL|REC|t=1775437305828|msg=[2026-04-06 01:01:14,600] INFO: [worker stdout] [2026-04-06 01:01:14,600] INFO: [进度] 75/200 | shard=shard-1 | category=report | doc=doc-0003.pdf
$CL|REC|t=1775437305908|msg=[2026-04-06 01:01:15,680] INFO: [worker stdout] [2026-04-06 01:01:15,680] INFO: 解析中 | doc=doc-0003.pdf | pages=8 | parser=pdfplumber | size_bytes=524288
$CL|REC|t=1775437306048|msg=[2026-04-06 01:01:15,820] INFO: [worker stdout] [2026-04-06 01:01:15,820] INFO: 索引中 | doc=doc-0003.pdf | chunks=92 | embedding_model=text-emb-3s | index=sample-search-prod
$CL|REC|t=1775437306108|msg=[2026-04-06 01:01:15,880] INFO: [worker stdout] [2026-04-06 01:01:15,880] INFO: 完成 | doc=doc-0003.pdf | ms=280 | chunks_indexed=92
$CL|REC|t=1775437306228|msg=[2026-04-06 01:01:14,000] INFO: [worker stdout] [2026-04-06 01:01:14,000] INFO: [进度] 76/200 | shard=shard-1 | category=spec | doc=doc-0004.pdf
$CL|REC|t=1775437306308|msg=[2026-04-06 01:01:15,080] INFO: [worker stdout] [2026-04-06 01:01:15,080] INFO: 解析中 | doc=doc-0004.pdf | pages=24 | parser=pdfplumber | size_bytes=524288
$CL|REC|t=1775437306448|msg=[2026-04-06 01:01:15,220] INFO: [worker stdout] [2026-04-06 01:01:15,220] INFO: 索引中 | doc=doc-0004.pdf | chunks=312 | embedding_model=text-emb-3s | index=sample-search-prod
$CL|REC|t=1775437306508|msg=[2026-04-06 01:01:15,280] INFO: [worker stdout] [2026-04-06 01:01:15,280] INFO: 完成 | doc=doc-0004.pdf | ms=280 | chunks_indexed=312
$CL|REC|t=1775437306548|msg=[2026-04-06 01:01:15,320] INFO: [worker stdout] [2026-04-06 01:01:15,320] INFO: WARN | doc=doc-0004.pdf | reason=ocr_low_conf | detail=page=3 confidence=0.42
$CL|REC|t=1775437306628|msg=[2026-04-06 01:01:14,400] INFO: [worker stdout] [2026-04-06 01:01:14,400] INFO: [进度] 77/200 | shard=shard-1 | category=contract | doc=doc-0005.pdf
$CL|REC|t=1775437306708|msg=[2026-04-06 01:01:15,480] INFO: [worker stdout] [2026-04-06 01:01:15,480] INFO: 解析中 | doc=doc-0005.pdf | pages=16 | parser=pdfplumber | size_bytes=524288
$CL|REC|t=1775437306848|msg=[2026-04-06 01:01:15,620] INFO: [worker stdout] [2026-04-06 01:01:15,620] INFO: 索引中 | doc=doc-0005.pdf | chunks=184 | embedding_model=text-emb-3s | index=sample-search-prod
$CL|REC|t=1775437306908|msg=[2026-04-06 01:01:15,680] INFO: [worker stdout] [2026-04-06 01:01:15,680] INFO: 完成 | doc=doc-0005.pdf | ms=280 | chunks_indexed=184
$CL|REC|t=1775437307028|msg=[2026-04-06 01:01:14,800] INFO: [worker stdout] [2026-04-06 01:01:14,800] INFO: [进度] 78/200 | shard=shard-1 | category=faq | doc=doc-0006.pdf
$CL|REC|t=1775437307108|msg=[2026-04-06 01:01:15,880] INFO: [worker stdout] [2026-04-06 01:01:15,880] INFO: 解析中 | doc=doc-0006.pdf | pages=4 | parser=pdfplumber | size_bytes=524288
$CL|REC|t=1775437307248|msg=[2026-04-06 01:01:15,020] INFO: [worker stdout] [2026-04-06 01:01:15,020] INFO: 索引中 | doc=doc-0006.pdf | chunks=48 | embedding_model=text-emb-3s | index=sample-search-prod
$CL|REC|t=1775437307308|msg=[2026-04-06 01:01:15,080] INFO: [worker stdout] [2026-04-06 01:01:15,080] INFO: 完成 | doc=doc-0006.pdf | ms=280 | chunks_indexed=48
$CL|REC|t=1775437307428|msg=[2026-04-06 01:01:14,200] INFO: [worker stdout] [2026-04-06 01:01:14,200] INFO: [进度] 79/200 | shard=shard-1 | category=manual | doc=doc-0001.pdf
$CL|REC|t=1775437307508|msg=[2026-04-06 01:01:15,280] INFO: [worker stdout] [2026-04-06 01:01:15,280] INFO: 解析中 | doc=doc-0001.pdf | pages=12 | parser=pdfplumber | size_bytes=524288
$CL|REC|t=1775437307648|msg=[2026-04-06 01:01:15,420] INFO: [worker stdout] [2026-04-06 01:01:15,420] INFO: 索引中 | doc=doc-0001.pdf | chunks=148 | embedding_model=text-emb-3s | index=sample-search-prod
$CL|REC|t=1775437307708|msg=[2026-04-06 01:01:15,480] INFO: [worker stdout] [2026-04-06 01:01:15,480] INFO: 完成 | doc=doc-0001.pdf | ms=280 | chunks_indexed=148
$CL|REC|t=1775437307828|msg=[2026-04-06 01:01:14,600] INFO: [worker stdout] [2026-04-06 01:01:14,600] INFO: [进度] 80/200 | shard=shard-1 | category=manual | doc=doc-0002.pdf
$CL|REC|t=1775437307908|msg=[2026-04-06 01:01:15,680] INFO: [worker stdout] [2026-04-06 01:01:15,680] INFO: 解析中 | doc=doc-0002.pdf | pages=18 | parser=pdfplumber | size_bytes=524288
$CL|REC|t=1775437308048|msg=[2026-04-06 01:01:15,820] INFO: [worker stdout] [2026-04-06 01:01:15,820] INFO: 索引中 | doc=doc-0002.pdf | chunks=226 | embedding_model=text-emb-3s | index=sample-search-prod
$CL|REC|t=1775437308108|msg=[2026-04-06 01:01:15,880] INFO: [worker stdout] [2026-04-06 01:01:15,880] INFO: 完成 | doc=doc-0002.pdf | ms=280 | chunks_indexed=226
$CL|REC|t=1775437308228|msg=[2026-04-06 01:01:14,000] INFO: [worker stdout] [2026-04-06 01:01:14,000] INFO: [进度] 81/200 | shard=shard-1 | category=report | doc=doc-0003.pdf
$CL|REC|t=1775437308308|msg=[2026-04-06 01:01:15,080] INFO: [worker stdout] [2026-04-06 01:01:15,080] INFO: 解析中 | doc=doc-0003.pdf | pages=8 | parser=pdfplumber | size_bytes=524288
$CL|REC|t=1775437308448|msg=[2026-04-06 01:01:15,220] INFO: [worker stdout] [2026-04-06 01:01:15,220] INFO: 索引中 | doc=doc-0003.pdf | chunks=92 | embedding_model=text-emb-3s | index=sample-search-prod
$CL|REC|t=1775437308508|msg=[2026-04-06 01:01:15,280] INFO: [worker stdout] [2026-04-06 01:01:15,280] INFO: 完成 | doc=doc-0003.pdf | ms=280 | chunks_indexed=92
$CL|REC|t=1775437308628|msg=[2026-04-06 01:01:14,400] INFO: [worker stdout] [2026-04-06 01:01:14,400] INFO: [进度] 82/200 | shard=shard-1 | category=spec | doc=doc-0004.pdf
$CL|REC|t=1775437308708|msg=[2026-04-06 01:01:15,480] INFO: [worker stdout] [2026-04-06 01:01:15,480] INFO: 解析中 | doc=doc-0004.pdf | pages=24 | parser=pdfplumber | size_bytes=524288
$CL|REC|t=1775437308848|msg=[2026-04-06 01:01:15,620] INFO: [worker stdout] [2026-04-06 01:01:15,620] INFO: 索引中 | doc=doc-0004.pdf | chunks=312 | embedding_model=text-emb-3s | index=sample-search-prod
$CL|REC|t=1775437308908|msg=[2026-04-06 01:01:15,680] INFO: [worker stdout] [2026-04-06 01:01:15,680] INFO: 完成 | doc=doc-0004.pdf | ms=280 | chunks_indexed=312
$CL|REC|t=1775437309028|msg=[2026-04-06 01:01:14,800] INFO: [worker stdout] [2026-04-06 01:01:14,800] INFO: [进度] 83/200 | shard=shard-1 | category=contract | doc=doc-0005.pdf
$CL|REC|t=1775437309108|msg=[2026-04-06 01:01:15,880] INFO: [worker stdout] [2026-04-06 01:01:15,880] INFO: 解析中 | doc=doc-0005.pdf | pages=16 | parser=pdfplumber | size_bytes=524288
$CL|REC|t=1775437309248|msg=[2026-04-06 01:01:15,020] INFO: [worker stdout] [2026-04-06 01:01:15,020] INFO: 索引中 | doc=doc-0005.pdf | chunks=184 | embedding_model=text-emb-3s | index=sample-search-prod
$CL|REC|t=1775437309308|msg=[2026-04-06 01:01:15,080] INFO: [worker stdout] [2026-04-06 01:01:15,080] INFO: 完成 | doc=doc-0005.pdf | ms=280 | chunks_indexed=184
$CL|REC|t=1775437309428|msg=[2026-04-06 01:01:14,200] INFO: [worker stdout] [2026-04-06 01:01:14,200] INFO: [进度] 84/200 | shard=shard-1 | category=faq | doc=doc-0006.pdf
$CL|REC|t=1775437309508|msg=[2026-04-06 01:01:15,280] INFO: [worker stdout] [2026-04-06 01:01:15,280] INFO: 解析中 | doc=doc-0006.pdf | pages=4 | parser=pdfplumber | size_bytes=524288
$CL|REC|t=1775437309648|msg=[2026-04-06 01:01:15,420] INFO: [worker stdout] [2026-04-06 01:01:15,420] INFO: 索引中 | doc=doc-0006.pdf | chunks=48 | embedding_model=text-emb-3s | index=sample-search-prod
$CL|REC|t=1775437309708|msg=[2026-04-06 01:01:15,480] INFO: [worker stdout] [2026-04-06 01:01:15,480] INFO: 完成 | doc=doc-0006.pdf | ms=280 | chunks_indexed=48
$CL|REC|t=1775437309828|msg=[2026-04-06 01:01:14,600] INFO: [worker stdout] [2026-04-06 01:01:14,600] INFO: [进度] 85/200 | shard=shard-1 | category=manual | doc=doc-0001.pdf
$CL|REC|t=1775437309908|msg=[2026-04-06 01:01:15,680] INFO: [worker stdout] [2026-04-06 01:01:15,680] INFO: 解析中 | doc=doc-0001.pdf | pages=12 | parser=pdfplumber | size_bytes=524288
$CL|REC|t=1775437310048|msg=[2026-04-06 01:01:15,820] INFO: [worker stdout] [2026-04-06 01:01:15,820] INFO: 索引中 | doc=doc-0001.pdf | chunks=148 | embedding_model=text-emb-3s | index=sample-search-prod
$CL|REC|t=1775437310108|msg=[2026-04-06 01:01:15,880] INFO: [worker stdout] [2026-04-06 01:01:15,880] INFO: 完成 | doc=doc-0001.pdf | ms=280 | chunks_indexed=148
$CL|REC|t=1775437310228|msg=[2026-04-06 01:01:14,000] INFO: [worker stdout] [2026-04-06 01:01:14,000] INFO: [进度] 86/200 | shard=shard-1 | category=manual | doc=doc-0002.pdf
$CL|REC|t=1775437310308|msg=[2026-04-06 01:01:15,080] INFO: [worker stdout] [2026-04-06 01:01:15,080] INFO: 解析中 | doc=doc-0002.pdf | pages=18 | parser=pdfplumber | size_bytes=524288
$CL|REC|t=1775437310448|msg=[2026-04-06 01:01:15,220] INFO: [worker stdout] [2026-04-06 01:01:15,220] INFO: 索引中 | doc=doc-0002.pdf | chunks=226 | embedding_model=text-emb-3s | index=sample-search-prod
$CL|REC|t=1775437310508|msg=[2026-04-06 01:01:15,280] INFO: [worker stdout] [2026-04-06 01:01:15,280] INFO: 完成 | doc=doc-0002.pdf | ms=280 | chunks_indexed=226
$CL|REC|t=1775437310628|msg=[2026-04-06 01:01:14,400] INFO: [worker stdout] [2026-04-06 01:01:14,400] INFO: [进度] 87/200 | shard=shard-1 | category=report | doc=doc-0003.pdf
$CL|REC|t=1775437310708|msg=[2026-04-06 01:01:15,480] INFO: [worker stdout] [2026-04-06 01:01:15,480] INFO: 解析中 | doc=doc-0003.pdf | pages=8 | parser=pdfplumber | size_bytes=524288
$CL|REC|t=1775437310848|msg=[2026-04-06 01:01:15,620] INFO: [worker stdout] [2026-04-06 01:01:15,620] INFO: 索引中 | doc=doc-0003.pdf | chunks=92 | embedding_model=text-emb-3s | index=sample-search-prod
$CL|REC|t=1775437310908|msg=[2026-04-06 01:01:15,680] INFO: [worker stdout] [2026-04-06 01:01:15,680] INFO: 完成 | doc=doc-0003.pdf | ms=280 | chunks_indexed=92
$CL|REC|t=1775437311028|msg=[2026-04-06 01:01:14,800] INFO: [worker stdout] [2026-04-06 01:01:14,800] INFO: [进度] 88/200 | shard=shard-1 | category=spec | doc=doc-0004.pdf
$CL|REC|t=1775437311108|msg=[2026-04-06 01:01:15,880] INFO: [worker stdout] [2026-04-06 01:01:15,880] INFO: 解析中 | doc=doc-0004.pdf | pages=24 | parser=pdfplumber | size_bytes=524288
$CL|REC|t=1775437311248|msg=[2026-04-06 01:01:15,020] INFO: [worker stdout] [2026-04-06 01:01:15,020] INFO: 索引中 | doc=doc-0004.pdf | chunks=312 | embedding_model=text-emb-3s | index=sample-search-prod
$CL|REC|t=1775437311308|msg=[2026-04-06 01:01:15,080] INFO: [worker stdout] [2026-04-06 01:01:15,080] INFO: 完成 | doc=doc-0004.pdf | ms=280 | chunks_indexed=312
$CL|REC|t=1775437311428|msg=[2026-04-06 01:01:14,200] INFO: [worker stdout] [2026-04-06 01:01:14,200] INFO: [进度] 89/200 | shard=shard-1 | category=contract | doc=doc-0005.pdf
$CL|REC|t=1775437311508|msg=[2026-04-06 01:01:15,280] INFO: [worker stdout] [2026-04-06 01:01:15,280] INFO: 解析中 | doc=doc-0005.pdf | pages=16 | parser=pdfplumber | size_bytes=524288
$CL|REC|t=1775437311648|msg=[2026-04-06 01:01:15,420] INFO: [worker stdout] [2026-04-06 01:01:15,420] INFO: 索引中 | doc=doc-0005.pdf | chunks=184 | embedding_model=text-emb-3s | index=sample-search-prod
$CL|REC|t=1775437311708|msg=[2026-04-06 01:01:15,480] INFO: [worker stdout] [2026-04-06 01:01:15,480] INFO: 完成 | doc=doc-0005.pdf | ms=280 | chunks_indexed=184
$CL|REC|t=1775437311828|msg=[2026-04-06 01:01:14,600] INFO: [worker stdout] [2026-04-06 01:01:14,600] INFO: [进度] 90/200 | shard=shard-1 | category=faq | doc=doc-0006.pdf
$CL|REC|t=1775437311908|msg=[2026-04-06 01:01:15,680] INFO: [worker stdout] [2026-04-06 01:01:15,680] INFO: 解析中 | doc=doc-0006.pdf | pages=4 | parser=pdfplumber | size_bytes=524288
$CL|REC|t=1775437312048|msg=[2026-04-06 01:01:15,820] INFO: [worker stdout] [2026-04-06 01:01:15,820] INFO: 索引中 | doc=doc-0006.pdf | chunks=48 | embedding_model=text-emb-3s | index=sample-search-prod
$CL|REC|t=1775437312108|msg=[2026-04-06 01:01:15,880] INFO: [worker stdout] [2026-04-06 01:01:15,880] INFO: 完成 | doc=doc-0006.pdf | ms=280 | chunks_indexed=48
$CL|REC|t=1775437312228|msg=[2026-04-06 01:01:14,000] INFO: [worker stdout] [2026-04-06 01:01:14,000] INFO: [进度] 91/200 | shard=shard-1 | category=manual | doc=doc-0001.pdf
$CL|REC|t=1775437312308|msg=[2026-04-06 01:01:15,080] INFO: [worker stdout] [2026-04-06 01:01:15,080] INFO: 解析中 | doc=doc-0001.pdf | pages=12 | parser=pdfplumber | size_bytes=524288
$CL|REC|t=1775437312448|msg=[2026-04-06 01:01:15,220] INFO: [worker stdout] [2026-04-06 01:01:15,220] INFO: 索引中 | doc=doc-0001.pdf | chunks=148 | embedding_model=text-emb-3s | index=sample-search-prod
$CL|REC|t=1775437312508|msg=[2026-04-06 01:01:15,280] INFO: [worker stdout] [2026-04-06 01:01:15,280] INFO: 完成 | doc=doc-0001.pdf | ms=280 | chunks_indexed=148
$CL|REC|t=1775437312628|msg=[2026-04-06 01:01:14,400] INFO: [worker stdout] [2026-04-06 01:01:14,400] INFO: [进度] 92/200 | shard=shard-1 | category=manual | doc=doc-0002.pdf
$CL|REC|t=1775437312708|msg=[2026-04-06 01:01:15,480] INFO: [worker stdout] [2026-04-06 01:01:15,480] INFO: 解析中 | doc=doc-0002.pdf | pages=18 | parser=pdfplumber | size_bytes=524288
$CL|REC|t=1775437312848|msg=[2026-04-06 01:01:15,620] INFO: [worker stdout] [2026-04-06 01:01:15,620] INFO: 索引中 | doc=doc-0002.pdf | chunks=226 | embedding_model=text-emb-3s | index=sample-search-prod
$CL|REC|t=1775437312908|msg=[2026-04-06 01:01:15,680] INFO: [worker stdout] [2026-04-06 01:01:15,680] INFO: 完成 | doc=doc-0002.pdf | ms=280 | chunks_indexed=226
$CL|REC|t=1775437313028|msg=[2026-04-06 01:01:14,800] INFO: [worker stdout] [2026-04-06 01:01:14,800] INFO: [进度] 93/200 | shard=shard-1 | category=report | doc=doc-0003.pdf
$CL|REC|t=1775437313108|msg=[2026-04-06 01:01:15,880] INFO: [worker stdout] [2026-04-06 01:01:15,880] INFO: 解析中 | doc=doc-0003.pdf | pages=8 | parser=pdfplumber | size_bytes=524288
$CL|REC|t=1775437313248|msg=[2026-04-06 01:01:15,020] INFO: [worker stdout] [2026-04-06 01:01:15,020] INFO: 索引中 | doc=doc-0003.pdf | chunks=92 | embedding_model=text-emb-3s | index=sample-search-prod
$CL|REC|t=1775437313308|msg=[2026-04-06 01:01:15,080] INFO: [worker stdout] [2026-04-06 01:01:15,080] INFO: 完成 | doc=doc-0003.pdf | ms=280 | chunks_indexed=92
$CL|REC|t=1775437313428|msg=[2026-04-06 01:01:14,200] INFO: [worker stdout] [2026-04-06 01:01:14,200] INFO: [进度] 94/200 | shard=shard-1 | category=spec | doc=doc-0004.pdf
$CL|REC|t=1775437313508|msg=[2026-04-06 01:01:15,280] INFO: [worker stdout] [2026-04-06 01:01:15,280] INFO: 解析中 | doc=doc-0004.pdf | pages=24 | parser=pdfplumber | size_bytes=524288
$CL|REC|t=1775437313648|msg=[2026-04-06 01:01:15,420] INFO: [worker stdout] [2026-04-06 01:01:15,420] INFO: 索引中 | doc=doc-0004.pdf | chunks=312 | embedding_model=text-emb-3s | index=sample-search-prod
$CL|REC|t=1775437313708|msg=[2026-04-06 01:01:15,480] INFO: [worker stdout] [2026-04-06 01:01:15,480] INFO: 完成 | doc=doc-0004.pdf | ms=280 | chunks_indexed=312
