$CL|META|providers=cloud|sources=|records=697
$CL|REC|t=1780621264700|msg=START RequestId: 196a221f-ccf1-4231-9769-f0e4e8b5db42 Version: $LATEST
$CL|REC|t=1780621264710|msg=[2026-06-05 01:01:04,710] INFO: 下载 S3 -> 本地: s3://sample-batch-processor/input/app-logs-2026-06-04.tar.gz  ->  /tmp/app-logs-2026-06-04.tar.gz
$CL|REC|t=1780621330750|msg=[2026-06-05 01:01:26,050] INFO: [worker stdout] [2026-06-05 01:01:26,050] INFO: 写入指标 | service=notif-svc | window=2026-06-04T19:00:00Z | out=s3://sample-batch-processor/metrics/2026-06-05/service=notif-svc/2026-06-04T19:00:00Z.json | engine=duckdb
$CL|REC|t=1780621330900|msg=[2026-06-05 01:01:26,200] INFO: [worker stdout] [2026-06-05 01:01:26,200] INFO: [进度] 69/112 | shard=shard-2 | service=ingest-svc | window=2026-06-04T20:00:00Z/PT60S
$CL|REC|t=1780621330980|msg=[2026-06-05 01:01:26,280] INFO: [worker stdout] [2026-06-05 01:01:26,280] INFO: 聚合中 | service=ingest-svc | window=2026-06-04T20:00:00Z | count=4196 | p50_ms=44 | p99_ms=156 | err_rate=0.084
$CL|REC|t=1780621331100|msg=[2026-06-05 01:01:26,400] INFO: [worker stdout] [2026-06-05 01:01:26,400] INFO: 写入指标 | service=ingest-svc | window=2026-06-04T20:00:00Z | out=s3://sample-batch-processor/metrics/2026-06-05/service=ingest-svc/2026-06-04T20:00:00Z.json | engine=duckdb
$CL|REC|t=1780621331250|msg=[2026-06-05 01:01:26,550] INFO: [worker stdout] [2026-06-05 01:01:26,550] INFO: [进度] 70/112 | shard=shard-2 | service=report-svc | window=2026-06-04T21:00:00Z/PT60S
$CL|REC|t=1780621331330|msg=[2026-06-05 01:01:26,630] INFO: [worker stdout] [2026-06-05 01:01:26,630] INFO: 聚合中 | service=report-svc | window=2026-06-04T21:00:00Z | count=4243 | p50_ms=47 | p99_ms=163 | err_rate=0.097
$CL|REC|t=1780621331450|msg=[2026-06-05 01:01:26,750] INFO: [worker stdout] [2026-06-05 01:01:26,750] INFO: 写入指标 | service=report-svc | window=2026-06-04T21:00:00Z | out=s3://sample-batch-processor/metrics/2026-06-05/service=report-svc/2026-06-04T21:00:00Z.json | engine=duckdb
$CL|REC|t=1780621331600|msg=[2026-06-05 01:01:26,900] INFO: [worker stdout] [2026-06-05 01:01:26,900] INFO: [进度] 71/112 | shard=shard-2 | service=search-svc | window=2026-06-04T22:00:00Z/PT60S
$CL|REC|t=1780621331680|msg=[2026-06-05 01:01:26,980] INFO: [worker stdout] [2026-06-05 01:01:26,980] INFO: 聚合中 | service=search-svc | window=2026-06-04T22:00:00Z | count=4290 | p50_ms=50 | p99_ms=170 | err_rate=0.010
$CL|REC|t=1780621331800|msg=[2026-06-05 01:01:27,100] INFO: [worker stdout] [2026-06-05 01:01:27,100] INFO: 写入指标 | service=search-svc | window=2026-06-04T22:00:00Z | out=s3://sample-batch-processor/metrics/2026-06-05/service=search-svc/2026-06-04T22:00:00Z.json | engine=duckdb
$CL|REC|t=1780621331950|msg=[2026-06-05 01:01:27,250] INFO: [worker stdout] [2026-06-05 01:01:27,250] INFO: [进度] 72/112 | shard=shard-2 | service=media-svc | window=2026-06-04T23:00:00Z/PT60S
$CL|REC|t=1780621332030|msg=[2026-06-05 01:01:27,330] INFO: [worker stdout] [2026-06-05 01:01:27,330] INFO: 聚合中 | service=media-svc | window=2026-06-04T23:00:00Z | count=4337 | p50_ms=53 | p99_ms=177 | err_rate=0.023
$CL|REC|t=1780621332150|msg=[2026-06-05 01:01:27,450] INFO: [worker stdout] [2026-06-05 01:01:27,450] INFO: 写入指标 | service=media-svc | window=2026-06-04T23:00:00Z | out=s3://sample-batch-processor/metrics/2026-06-05/service=media-svc/2026-06-04T23:00:00Z.json | engine=duckdb
$CL|REC|t=1780621332300|msg=[2026-06-05 01:01:27,600] INFO: [worker stdout] [2026-06-05 01:01:27,600] INFO: [进度] 73/112 | shard=shard-2 | service=api-gateway | window=2026-06-04T00:00:00Z/PT60S
$CL|REC|t=1780621332380|msg=[2026-06-05 01:01:27,680] INFO: [worker stdout] [2026-06-05 01:01:27,680] INFO: 聚合中 | service=api-gateway | window=2026-06-04T00:00:00Z | count=4384 | p50_ms=56 | p99_ms=184 | err_rate=0.036
$CL|REC|t=1780621332500|msg=[2026-06-05 01:01:27,800] INFO: [worker stdout] [2026-06-05 01:01:27,800] INFO: 写入指标 | service=api-gateway | window=2026-06-04T00:00:00Z | out=s3://sample-batch-processor/metrics/2026-06-05/service=api-gateway/2026-06-04T00:00:00Z.json | engine=duckdb
$CL|REC|t=1780621332650|msg=[2026-06-05 01:01:27,950] INFO: [worker stdout] [2026-06-05 01:01:27,950] INFO: [进度] 74/112 | shard=shard-2 | service=auth-svc | window=2026-06-04T01:00:00Z/PT60S
$CL|REC|t=1780621332730|msg=[2026-06-05 01:01:28,030] INFO: [worker stdout] [2026-06-05 01:01:28,030] INFO: 聚合中 | service=auth-svc | window=2026-06-04T01:00:00Z | count=4431 | p50_ms=59 | p99_ms=191 | err_rate=0.049
$CL|REC|t=1780621332850|msg=[2026-06-05 01:01:28,150] INFO: [worker stdout] [2026-06-05 01:01:28,150] INFO: 写入指标 | service=auth-svc | window=2026-06-04T01:00:00Z | out=s3://sample-batch-processor/metrics/2026-06-05/service=auth-svc/2026-06-04T01:00:00Z.json | engine=duckdb
$CL|REC|t=1780621333000|msg=[2026-06-05 01:01:28,300] INFO: [worker stdout] [2026-06-05 01:01:28,300] INFO: [进度] 75/112 | shard=shard-2 | service=billing-svc | window=2026-06-04T02:00:00Z/PT60S
$CL|REC|t=1780621333080|msg=[2026-06-05 01:01:28,380] INFO: [worker stdout] [2026-06-05 01:01:28,380] INFO: 聚合中 | service=billing-svc | window=2026-06-04T02:00:00Z | count=4478 | p50_ms=62 | p99_ms=198 | err_rate=0.062
$CL|REC|t=1780621333200|msg=[2026-06-05 01:01:28,500] INFO: [worker stdout] [2026-06-05 01:01:28,500] INFO: 写入指标 | service=billing-svc | window=2026-06-04T02:00:00Z | out=s3://sample-batch-processor/metrics/2026-06-05/service=billing-svc/2026-06-04T02:00:00Z.json | engine=duckdb
$CL|REC|t=1780621333350|msg=[2026-06-05 01:01:28,650] INFO: [worker stdout] [2026-06-05 01:01:28,650] INFO: [进度] 76/112 | shard=shard-2 | service=notif-svc | window=2026-06-04T03:00:00Z/PT60S
$CL|REC|t=1780621333430|msg=[2026-06-05 01:01:28,730] INFO: [worker stdout] [2026-06-05 01:01:28,730] INFO: 聚合中 | service=notif-svc | window=2026-06-04T03:00:00Z | count=4525 | p50_ms=65 | p99_ms=205 | err_rate=0.075
$CL|REC|t=1780621333550|msg=[2026-06-05 01:01:28,850] INFO: [worker stdout] [2026-06-05 01:01:28,850] INFO: 写入指标 | service=notif-svc | window=2026-06-04T03:00:00Z | out=s3://sample-batch-processor/metrics/2026-06-05/service=notif-svc/2026-06-04T03:00:00Z.json | engine=duckdb
$CL|REC|t=1780621333700|msg=[2026-06-05 01:01:29,000] INFO: [worker stdout] [2026-06-05 01:01:29,000] INFO: [进度] 77/112 | shard=shard-2 | service=ingest-svc | window=2026-06-04T04:00:00Z/PT60S
$CL|REC|t=1780621333780|msg=[2026-06-05 01:01:29,080] INFO: [worker stdout] [2026-06-05 01:01:29,080] INFO: 聚合中 | service=ingest-svc | window=2026-06-04T04:00:00Z | count=4572 | p50_ms=68 | p99_ms=212 | err_rate=0.088
$CL|REC|t=1780621333900|msg=[2026-06-05 01:01:29,200] INFO: [worker stdout] [2026-06-05 01:01:29,200] INFO: 写入指标 | service=ingest-svc | window=2026-06-04T04:00:00Z | out=s3://sample-batch-processor/metrics/2026-06-05/service=ingest-svc/2026-06-04T04:00:00Z.json | engine=duckdb
!$CL|REC|t=1780621334000|msg=[2026-06-05 01:01:29,300] INFO: [worker stdout] [2026-06-05 01:01:29,300] INFO: ERROR | service=ingest-svc | reason=db_lock | detail=deadlock detected will retry 1/3
$CL|REC|t=1780621334300|msg=[2026-06-05 01:01:29,600] INFO: [worker stdout] [2026-06-05 01:01:29,600] INFO: 重试成功 | service=ingest-svc | ms=300 | out=s3://sample-batch-processor/metrics/2026-06-05/service=ingest-svc/2026-06-04T04:00:00Z.json
$CL|REC|t=1780621334050|msg=[2026-06-05 01:01:29,350] INFO: [worker stdout] [2026-06-05 01:01:29,350] INFO: [进度] 78/112 | shard=shard-2 | service=report-svc | window=2026-06-04T05:00:00Z/PT60S
$CL|REC|t=1780621334130|msg=[2026-06-05 01:01:29,430] INFO: [worker stdout] [2026-06-05 01:01:29,430] INFO: 聚合中 | service=report-svc | window=2026-06-04T05:00:00Z | count=4619 | p50_ms=71 | p99_ms=219 | err_rate=0.001
$CL|REC|t=1780621334250|msg=[2026-06-05 01:01:29,550] INFO: [worker stdout] [2026-06-05 01:01:29,550] INFO: 写入指标 | service=report-svc | window=2026-06-04T05:00:00Z | out=s3://sample-batch-processor/metrics/2026-06-05/service=report-svc/2026-06-04T05:00:00Z.json | engine=duckdb
$CL|REC|t=1780621334400|msg=[2026-06-05 01:01:29,700] INFO: [worker stdout] [2026-06-05 01:01:29,700] INFO: [进度] 79/112 | shard=shard-2 | service=search-svc | window=2026-06-04T06:00:00Z/PT60S
$CL|REC|t=1780621334480|msg=[2026-06-05 01:01:29,780] INFO: [worker stdout] [2026-06-05 01:01:29,780] INFO: 聚合中 | service=search-svc | window=2026-06-04T06:00:00Z | count=4666 | p50_ms=74 | p99_ms=226 | err_rate=0.014
$CL|REC|t=1780621334600|msg=[2026-06-05 01:01:29,900] INFO: [worker stdout] [2026-06-05 01:01:29,900] INFO: 写入指标 | service=search-svc | window=2026-06-04T06:00:00Z | out=s3://sample-batch-processor/metrics/2026-06-05/service=search-svc/2026-06-04T06:00:00Z.json | engine=duckdb
$CL|REC|t=1780621334750|msg=[2026-06-05 01:01:30,050] INFO: [worker stdout] [2026-06-05 01:01:30,050] INFO: [进度] 80/112 | shard=shard-2 | service=media-svc | window=2026-06-04T07:00:00Z/PT60S
$CL|REC|t=1780621334830|msg=[2026-06-05 01:01:30,130] INFO: [worker stdout] [2026-06-05 01:01:30,130] INFO: 聚合中 | service=media-svc | window=2026-06-04T07:00:00Z | count=4713 | p50_ms=77 | p99_ms=233 | err_rate=0.027
$CL|REC|t=1780621334950|msg=[2026-06-05 01:01:30,250] INFO: [worker stdout] [2026-06-05 01:01:30,250] INFO: 写入指标 | service=media-svc | window=2026-06-04T07:00:00Z | out=s3://sample-batch-processor/metrics/2026-06-05/service=media-svc/2026-06-04T07:00:00Z.json | engine=duckdb
$CL|REC|t=1780621335100|msg=[2026-06-05 01:01:30,400] INFO: [worker stdout] [2026-06-05 01:01:30,400] INFO: [进度] 81/112 | shard=shard-2 | service=api-gateway | window=2026-06-04T08:00:00Z/PT60S
$CL|REC|t=1780621335180|msg=[2026-06-05 01:01:30,480] INFO: [worker stdout] [2026-06-05 01:01:30,480] INFO: 聚合中 | service=api-gateway | window=2026-06-04T08:00:00Z | count=4760 | p50_ms=80 | p99_ms=240 | err_rate=0.040
$CL|REC|t=1780621335300|msg=[2026-06-05 01:01:30,600] INFO: [worker stdout] [2026-06-05 01:01:30,600] INFO: 写入指标 | service=api-gateway | window=2026-06-04T08:00:00Z | out=s3://sample-batch-processor/metrics/2026-06-05/service=api-gateway/2026-06-04T08:00:00Z.json | engine=duckdb
$CL|REC|t=1780621335450|msg=[2026-06-05 01:01:30,750] INFO: [worker stdout] [2026-06-05 01:01:30,750] INFO: [进度] 82/112 | shard=shard-2 | service=auth-svc | window=2026-06-04T09:00:00Z/PT60S
$CL|REC|t=1780621335530|msg=[2026-06-05 01:01:30,830] INFO: [worker stdout] [2026-06-05 01:01:30,830] INFO: 聚合中 | service=auth-svc | window=2026-06-04T09:00:00Z | count=4807 | p50_ms=83 | p99_ms=247 | err_rate=0.053
$CL|REC|t=1780621335650|msg=[2026-06-05 01:01:30,950] INFO: [worker stdout] [2026-06-05 01:01:30,950] INFO: 写入指标 | service=auth-svc | window=2026-06-04T09:00:00Z | out=s3://sample-batch-processor/metrics/2026-06-05/service=auth-svc/2026-06-04T09:00:00Z.json | engine=duckdb
$CL|REC|t=1780621335800|msg=[2026-06-05 01:01:31,100] INFO: [worker stdout] [2026-06-05 01:01:31,100] INFO: [进度] 83/112 | shard=shard-2 | service=billing-svc | window=2026-06-04T10:00:00Z/PT60S
$CL|REC|t=1780621335880|msg=[2026-06-05 01:01:31,180] INFO: [worker stdout] [2026-06-05 01:01:31,180] INFO: 聚合中 | service=billing-svc | window=2026-06-04T10:00:00Z | count=4854 | p50_ms=86 | p99_ms=254 | err_rate=0.066
$CL|REC|t=1780621336000|msg=[2026-06-05 01:01:31,300] INFO: [worker stdout] [2026-06-05 01:01:31,300] INFO: 写入指标 | service=billing-svc | window=2026-06-04T10:00:00Z | out=s3://sample-batch-processor/metrics/2026-06-05/service=billing-svc/2026-06-04T10:00:00Z.json | engine=duckdb
$CL|REC|t=1780621336150|msg=[2026-06-05 01:01:31,450] INFO: [worker stdout] [2026-06-05 01:01:31,450] INFO: [进度] 84/112 | shard=shard-2 | service=notif-svc | window=2026-06-04T11:00:00Z/PT60S
$CL|REC|t=1780621336230|msg=[2026-06-05 01:01:31,530] INFO: [worker stdout] [2026-06-05 01:01:31,530] INFO: 聚合中 | service=notif-svc | window=2026-06-04T11:00:00Z | count=4901 | p50_ms=89 | p99_ms=261 | err_rate=0.079
$CL|REC|t=1780621336350|msg=[2026-06-05 01:01:31,650] INFO: [worker stdout] [2026-06-05 01:01:31,650] INFO: 写入指标 | service=notif-svc | window=2026-06-04T11:00:00Z | out=s3://sample-batch-processor/metrics/2026-06-05/service=notif-svc/2026-06-04T11:00:00Z.json | engine=duckdb
$CL|REC|t=1780621356700|msg=[2026-06-05 01:01:30,000] INFO: [worker stdout] [2026-06-05 01:01:30,000] INFO: [进度] 85/112 | shard=shard-3 | service=ingest-svc | window=2026-06-04T12:00:00Z/PT60S
$CL|REC|t=1780621356780|msg=[2026-06-05 01:01:30,080] INFO: [worker stdout] [2026-06-05 01:01:30,080] INFO: 聚合中 | service=ingest-svc | window=2026-06-04T12:00:00Z | count=4948 | p50_ms=92 | p99_ms=268 | err_rate=0.092
$CL|REC|t=1780621356900|msg=[2026-06-05 01:01:30,200] INFO: [worker stdout] [2026-06-05 01:01:30,200] INFO: 写入指标 | service=ingest-svc | window=2026-06-04T12:00:00Z | out=s3://sample-batch-processor/metrics/2026-06-05/service=ingest-svc/2026-06-04T12:00:00Z.json | engine=duckdb
$CL|REC|t=1780621357050|msg=[2026-06-05 01:01:30,350] INFO: [worker stdout] [2026-06-05 01:01:30,350] INFO: [进度] 86/112 | shard=shard-3 | service=report-svc | window=2026-06-04T13:00:00Z/PT60S
$CL|REC|t=1780621357130|msg=[2026-06-05 01:01:30,430] INFO: [worker stdout] [2026-06-05 01:01:30,430] INFO: 聚合中 | service=report-svc | window=2026-06-04T13:00:00Z | count=4995 | p50_ms=95 | p99_ms=275 | err_rate=0.005
$CL|REC|t=1780621357250|msg=[2026-06-05 01:01:30,550] INFO: [worker stdout] [2026-06-05 01:01:30,550] INFO: 写入指标 | service=report-svc | window=2026-06-04T13:00:00Z | out=s3://sample-batch-processor/metrics/2026-06-05/service=report-svc/2026-06-04T13:00:00Z.json | engine=duckdb
$CL|REC|t=1780621357400|msg=[2026-06-05 01:01:30,700] INFO: [worker stdout] [2026-06-05 01:01:30,700] INFO: [进度] 87/112 | shard=shard-3 | service=search-svc | window=2026-06-04T14:00:00Z/PT60S
$CL|REC|t=1780621357480|msg=[2026-06-05 01:01:30,780] INFO: [worker stdout] [2026-06-05 01:01:30,780] INFO: 聚合中 | service=search-svc | window=2026-06-04T14:00:00Z | count=5042 | p50_ms=98 | p99_ms=282 | err_rate=0.018
$CL|REC|t=1780621357600|msg=[2026-06-05 01:01:30,900] INFO: [worker stdout] [2026-06-05 01:01:30,900] INFO: 写入指标 | service=search-svc | window=2026-06-04T14:00:00Z | out=s3://sample-batch-processor/metrics/2026-06-05/service=search-svc/2026-06-04T14:00:00Z.json | engine=duckdb
$CL|REC|t=1780621357750|msg=[2026-06-05 01:01:31,050] INFO: [worker stdout] [2026-06-05 01:01:31,050] INFO: [进度] 88/112 | shard=shard-3 | service=media-svc | window=2026-06-04T15:00:00Z/PT60S
$CL|REC|t=1780621357830|msg=[2026-06-05 01:01:31,130] INFO: [worker stdout] [2026-06-05 01:01:31,130] INFO: 聚合中 | service=media-svc | window=2026-06-04T15:00:00Z | count=5089 | p50_ms=101 | p99_ms=289 | err_rate=0.031
$CL|REC|t=1780621357950|msg=[2026-06-05 01:01:31,250] INFO: [worker stdout] [2026-06-05 01:01:31,250] INFO: 写入指标 | service=media-svc | window=2026-06-04T15:00:00Z | out=s3://sample-batch-processor/metrics/2026-06-05/service=media-svc/2026-06-04T15:00:00Z.json | engine=duckdb
$CL|REC|t=1780621358100|msg=[2026-06-05 01:01:31,400] INFO: [worker stdout] [2026-06-05 01:01:31,400] INFO: [进度] 89/112 | shard=shard-3 | service=api-gateway | window=2026-06-04T16:00:00Z/PT60S
$CL|REC|t=1780621358180|msg=[2026-06-05 01:01:31,480] INFO: [worker stdout] [2026-06-05 01:01:31,480] INFO: 聚合中 | service=api-gateway | window=2026-06-04T16:00:00Z | count=5136 | p50_ms=104 | p99_ms=296 | err_rate=0.044
$CL|REC|t=1780621358300|msg=[2026-06-05 01:01:31,600] INFO: [worker stdout] [2026-06-05 01:01:31,600] INFO: 写入指标 | service=api-gateway | window=2026-06-04T16:00:00Z | out=s3://sample-batch-processor/metrics/2026-06-05/service=api-gateway/2026-06-04T16:00:00Z.json | engine=duckdb
$CL|REC|t=1780621358450|msg=[2026-06-05 01:01:31,750] INFO: [worker stdout] [2026-06-05 01:01:31,750] INFO: [进度] 90/112 | shard=shard-3 | service=auth-svc | window=2026-06-04T17:00:00Z/PT60S
$CL|REC|t=1780621358530|msg=[2026-06-05 01:01:31,830] INFO: [worker stdout] [2026-06-05 01:01:31,830] INFO: 聚合中 | service=auth-svc | window=2026-06-04T17:00:00Z | count=5183 | p50_ms=107 | p99_ms=303 | err_rate=0.057
$CL|REC|t=1780621358650|msg=[2026-06-05 01:01:31,950] INFO: [worker stdout] [2026-06-05 01:01:31,950] INFO: 写入指标 | service=auth-svc | window=2026-06-04T17:00:00Z | out=s3://sample-batch-processor/metrics/2026-06-05/service=auth-svc/2026-06-04T17:00:00Z.json | engine=duckdb
$CL|REC|t=1780621358800|msg=[2026-06-05 01:01:32,100] INFO: [worker stdout] [2026-06-05 01:01:32,100] INFO: [进度] 91/112 | shard=shard-3 | service=billing-svc | window=2026-06-04T18:00:00Z/PT60S
$CL|REC|t=1780621358880|msg=[2026-06-05 01:01:32,180] INFO: [worker stdout] [2026-06-05 01:01:32,180] INFO: 聚合中 | service=billing-svc | window=2026-06-04T18:00:00Z | count=5230 | p50_ms=110 | p99_ms=310 | err_rate=0.070
$CL|REC|t=1780621359000|msg=[2026-06-05 01:01:32,300] INFO: [worker stdout] [2026-06-05 01:01:32,300] INFO: 写入指标 | service=billing-svc | window=2026-06-04T18:00:00Z | out=s3://sample-batch-processor/metrics/2026-06-05/service=billing-svc/2026-06-04T18:00:00Z.json | engine=duckdb
$CL|REC|t=1780621359150|msg=[2026-06-05 01:01:32,450] INFO: [worker stdout] [2026-06-05 01:01:32,450] INFO: [进度] 92/112 | shard=shard-3 | service=notif-svc | window=2026-06-04T19:00:00Z/PT60S
$CL|REC|t=1780621359230|msg=[2026-06-05 01:01:32,530] INFO: [worker stdout] [2026-06-05 01:01:32,530] INFO: 聚合中 | service=notif-svc | window=2026-06-04T19:00:00Z | count=5277 | p50_ms=113 | p99_ms=317 | err_rate=0.083
$CL|REC|t=1780621359350|msg=[2026-06-05 01:01:32,650] INFO: [worker stdout] [2026-06-05 01:01:32,650] INFO: 写入指标 | service=notif-svc | window=2026-06-04T19:00:00Z | out=s3://sample-batch-processor/metrics/2026-06-05/service=notif-svc/2026-06-04T19:00:00Z.json | engine=duckdb
$CL|REC|t=1780621359500|msg=[2026-06-05 01:01:32,800] INFO: [worker stdout] [2026-06-05 01:01:32,800] INFO: [进度] 93/112 | shard=shard-3 | service=ingest-svc | window=2026-06-04T20:00:00Z/PT60S
$CL|REC|t=1780621359580|msg=[2026-06-05 01:01:32,880] INFO: [worker stdout] [2026-06-05 01:01:32,880] INFO: 聚合中 | service=ingest-svc | window=2026-06-04T20:00:00Z | count=5324 | p50_ms=116 | p99_ms=324 | err_rate=0.096
$CL|REC|t=1780621359700|msg=[2026-06-05 01:01:33,000] INFO: [worker stdout] [2026-06-05 01:01:33,000] INFO: 写入指标 | service=ingest-svc | window=2026-06-04T20:00:00Z | out=s3://sample-batch-processor/metrics/2026-06-05/service=ingest-svc/2026-06-04T20:00:00Z.json | engine=duckdb
$CL|REC|t=1780621359850|msg=[2026-06-05 01:01:33,150] INFO: [worker stdout] [2026-06-05 01:01:33,150] INFO: [进度] 94/112 | shard=shard-3 | service=report-svc | window=2026-06-04T21:00:00Z/PT60S
$CL|REC|t=1780621359930|msg=[2026-06-05 01:01:33,230] INFO: [worker stdout] [2026-06-05 01:01:33,230] INFO: 聚合中 | service=report-svc | window=2026-06-04T21:00:00Z | count=5371 | p50_ms=119 | p99_ms=331 | err_rate=0.009
$CL|REC|t=1780621360050|msg=[2026-06-05 01:01:33,350] INFO: [worker stdout] [2026-06-05 01:01:33,350] INFO: 写入指标 | service=report-svc | window=2026-06-04T21:00:00Z | out=s3://sample-batch-processor/metrics/2026-06-05/service=report-svc/2026-06-04T21:00:00Z.json | engine=duckdb
$CL|REC|t=1780621360200|msg=[2026-06-05 01:01:33,500] INFO: [worker stdout] [2026-06-05 01:01:33,500] INFO: [进度] 95/112 | shard=shard-3 | service=search-svc | window=2026-06-04T22:00:00Z/PT60S
$CL|REC|t=1780621360280|msg=[2026-06-05 01:01:33,580] INFO: [worker stdout] [2026-06-05 01:01:33,580] INFO: 聚合中 | service=search-svc | window=2026-06-04T22:00:00Z | count=5418 | p50_ms=122 | p99_ms=338 | err_rate=0.022
$CL|REC|t=1780621360400|msg=[2026-06-05 01:01:33,700] INFO: [worker stdout] [2026-06-05 01:01:33,700] INFO: 写入指标 | service=search-svc | window=2026-06-04T22:00:00Z | out=s3://sample-batch-processor/metrics/2026-06-05/service=search-svc/2026-06-04T22:00:00Z.json | engine=duckdb
$CL|REC|t=1780621360550|msg=[2026-06-05 01:01:33,850] INFO: [worker stdout] [2026-06-05 01:01:33,850] INFO: [进度] 96/112 | shard=shard-3 | service=media-svc | window=2026-06-04T23:00:00Z/PT60S
$CL|REC|t=1780621360630|msg=[2026-06-05 01:01:33,930] INFO: [worker stdout] [2026-06-05 01:01:33,930] INFO: 聚合中 | service=media-svc | window=2026-06-04T23:00:00Z | count=5465 | p50_ms=125 | p99_ms=345 | err_rate=0.035
$CL|REC|t=1780621360750|msg=[2026-06-05 01:01:34,050] INFO: [worker stdout] [2026-06-05 01:01:34,050] INFO: 写入指标 | service=media-svc | window=2026-06-04T23:00:00Z | out=s3://sample-batch-processor/metrics/2026-06-05/service=media-svc/2026-06-04T23:00:00Z.json | engine=duckdb
$CL|REC|t=1780621360900|msg=[2026-06-05 01:01:34,200] INFO: [worker stdout] [2026-06-05 01:01:34,200] INFO: [进度] 97/112 | shard=shard-3 | service=api-gateway | window=2026-06-04T00:00:00Z/PT60S
$CL|REC|t=1780621360980|msg=[2026-06-05 01:01:34,280] INFO: [worker stdout] [2026-06-05 01:01:34,280] INFO: 聚合中 | service=api-gateway | window=2026-06-04T00:00:00Z | count=5512 | p50_ms=128 | p99_ms=352 | err_rate=0.048
$CL|REC|t=1780621361100|msg=[2026-06-05 01:01:34,400] INFO: [worker stdout] [2026-06-05 01:01:34,400] INFO: 写入指标 | service=api-gateway | window=2026-06-04T00:00:00Z | out=s3://sample-batch-processor/metrics/2026-06-05/service=api-gateway/2026-06-04T00:00:00Z.json | engine=duckdb
$CL|REC|t=1780621361250|msg=[2026-06-05 01:01:34,550] INFO: [worker stdout] [2026-06-05 01:01:34,550] INFO: [进度] 98/112 | shard=shard-3 | service=auth-svc | window=2026-06-04T01:00:00Z/PT60S
$CL|REC|t=1780621361330|msg=[2026-06-05 01:01:34,630] INFO: [worker stdout] [2026-06-05 01:01:34,630] INFO: 聚合中 | service=auth-svc | window=2026-06-04T01:00:00Z | count=5559 | p50_ms=131 | p99_ms=359 | err_rate=0.061
$CL|REC|t=1780621361450|msg=[2026-06-05 01:01:34,750] INFO: [worker stdout] [2026-06-05 01:01:34,750] INFO: 写入指标 | service=auth-svc | window=2026-06-04T01:00:00Z | out=s3://sample-batch-processor/metrics/2026-06-05/service=auth-svc/2026-06-04T01:00:00Z.json | engine=duckdb
$CL|REC|t=1780621361600|msg=[2026-06-05 01:01:34,900] INFO: [worker stdout] [2026-06-05 01:01:34,900] INFO: [进度] 99/112 | shard=shard-3 | service=billing-svc | window=2026-06-04T02:00:00Z/PT60S
$CL|REC|t=1780621361680|msg=[2026-06-05 01:01:34,980] INFO: [worker stdout] [2026-06-05 01:01:34,980] INFO: 聚合中 | service=billing-svc | window=2026-06-04T02:00:00Z | count=5606 | p50_ms=134 | p99_ms=366 | err_rate=0.074
$CL|REC|t=1780621361800|msg=[2026-06-05 01:01:35,100] INFO: [worker stdout] [2026-06-05 01:01:35,100] INFO: 写入指标 | service=billing-svc | window=2026-06-04T02:00:00Z | out=s3://sample-batch-processor/metrics/2026-06-05/service=billing-svc/2026-06-04T02:00:00Z.json | engine=duckdb
$CL|REC|t=1780621361950|msg=[2026-06-05 01:01:35,250] INFO: [worker stdout] [2026-06-05 01:01:35,250] INFO: [进度] 100/112 | shard=shard-3 | service=notif-svc | window=2026-06-04T03:00:00Z/PT60S
$CL|REC|t=1780621362030|msg=[2026-06-05 01:01:35,330] INFO: [worker stdout] [2026-06-05 01:01:35,330] INFO: 聚合中 | service=notif-svc | window=2026-06-04T03:00:00Z | count=5653 | p50_ms=137 | p99_ms=373 | err_rate=0.087
$CL|REC|t=1780621362150|msg=[2026-06-05 01:01:35,450] INFO: [worker stdout] [2026-06-05 01:01:35,450] INFO: 写入指标 | service=notif-svc | window=2026-06-04T03:00:00Z | out=s3://sample-batch-processor/metrics/2026-06-05/service=notif-svc/2026-06-04T03:00:00Z.json | engine=duckdb
$CL|REC|t=1780621362300|msg=[2026-06-05 01:01:35,600] INFO: [worker stdout] [2026-06-05 01:01:35,600] INFO: [进度] 101/112 | shard=shard-3 | service=ingest-svc | window=2026-06-04T04:00:00Z/PT60S
$CL|REC|t=1780621362380|msg=[2026-06-05 01:01:35,680] INFO: [worker stdout] [2026-06-05 01:01:35,680] INFO: 聚合中 | service=ingest-svc | window=2026-06-04T04:00:00Z | count=5700 | p50_ms=140 | p99_ms=380 | err_rate=0.000
$CL|REC|t=1780621362500|msg=[2026-06-05 01:01:35,800] INFO: [worker stdout] [2026-06-05 01:01:35,800] INFO: 写入指标 | service=ingest-svc | window=2026-06-04T04:00:00Z | out=s3://sample-batch-processor/metrics/2026-06-05/service=ingest-svc/2026-06-04T04:00:00Z.json | engine=duckdb
$CL|REC|t=1780621362650|msg=[2026-06-05 01:01:35,950] INFO: [worker stdout] [2026-06-05 01:01:35,950] INFO: [进度] 102/112 | shard=shard-3 | service=report-svc | window=2026-06-04T05:00:00Z/PT60S
$CL|REC|t=1780621362730|msg=[2026-06-05 01:01:36,030] INFO: [worker stdout] [2026-06-05 01:01:36,030] INFO: 聚合中 | service=report-svc | window=2026-06-04T05:00:00Z | count=5747 | p50_ms=143 | p99_ms=387 | err_rate=0.013
